source,target,weight,type
Arms,TatsunokoProduction,0.24106537014667878,undirected
Arms,ToeiAnimation,0.23003623088502279,undirected
Arms,Xebec,0.19837885082009193,undirected
Arms,Zexcs,0.22348481977718798,undirected
Arms,feel.,0.2832123177094852,undirected
Arms,ufotable,0.2308791851471561,undirected
Bones,BrainsBase,0.1632657201122253,undirected
Bones,DLE,0.39443646062797283,undirected
Bones,DogaKobo,0.2638020961733803,undirected
Bones,Gainax,0.1345239165902381,undirected
Bones,Gonzo,0.08581305640424337,undirected
Bones,J.C.Staff,0.14235327765914116,undirected
Bones,KyotoAnimation,0.27394777716817603,undirected
Bones,Madhouse,0.10359734724861301,undirected
Bones,NipponAnimation,0.2334370766823569,undirected
Bones,OLM,0.2260562284137877,undirected
Bones,ProductionI.G,0.10727389726032197,undirected
Bones,ProductionReed,0.11731464068575422,undirected
Bones,Satelight,0.13033406631660174,undirected
Bones,Seven,0.3316290482793886,undirected
Bones,Shaft,0.21376978596438354,undirected
Bones,Shin-EiAnimation,0.259966273952689,undirected
Bones,SilverLink.,0.23780688365475233,undirected
Bones,Studio4°C,0.14484859559643135,undirected
Bones,StudioDeen,0.13466881018540355,undirected
Bones,StudioGallop,0.1673884238651414,undirected
Bones,StudioGhibli,0.24685593104735942,undirected
Bones,StudioHibari,0.17368381439355124,undirected
Bones,StudioPierrot,0.11380442016299527,undirected
Bones,Sunrise,0.14713710458413995,undirected
Bones,TMSEntertainment,0.17957187084920767,undirected
Bones,TatsunokoProduction,0.13084222716691923,undirected
Bones,ToeiAnimation,0.12633295679550643,undirected
Bones,Xebec,0.14633120942415048,undirected
Bones,Zexcs,0.214787906802189,undirected
Bones,feel.,0.2894149450471876,undirected
Bones,ufotable,0.15716106104006092,undirected
BrainsBase,DLE,0.3457697146997433,undirected
BrainsBase,DogaKobo,0.15886688641674332,undirected
BrainsBase,Gainax,0.16961230375176253,undirected
BrainsBase,Gonzo,0.17065532423571533,undirected
BrainsBase,J.C.Staff,0.08170485412982861,undirected
BrainsBase,KyotoAnimation,0.18199605008182146,undirected
BrainsBase,Madhouse,0.12275237775422987,undirected
BrainsBase,NipponAnimation,0.2271307134328403,undirected
BrainsBase,OLM,0.24456942027153553,undirected
BrainsBase,ProductionI.G,0.13543601984080414,undirected
BrainsBase,ProductionReed,0.15731352521074274,undirected
BrainsBase,Satelight,0.18333213246707722,undirected
BrainsBase,Seven,0.2345842019551575,undirected
BrainsBase,Shaft,0.12117041521231932,undirected
BrainsBase,Shin-EiAnimation,0.2305363351887621,undirected
BrainsBase,SilverLink.,0.14253123331241552,undirected
BrainsBase,Studio4°C,0.20371626346475616,undirected
BrainsBase,StudioDeen,0.07918726437804752,undirected
